epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,5791.08,0.4545,0.47948,0.42314,0.9248,0.95921,0.95047,0.97078,0.80478,0.91451,0.9057,0.92697,0.70298,0.61058,0.88992,0.57705,0.78193,0.000778233,0.000778233,0.000778233
94,5857.35,0.4783,0.50419,0.41326,0.93179,0.96106,0.94007,0.96946,0.8478,0.91552,0.89574,0.94056,0.72288,0.59785,0.87766,0.55999,0.77246,0.00077116,0.00077116,0.00077116
95,5924.46,0.47282,0.53534,0.42755,0.91953,0.9289,0.95426,0.97004,0.82507,0.87502,0.90303,0.91439,0.69469,0.59001,0.89088,0.58568,0.76931,0.000764086,0.000764086,0.000764086
96,5992.28,0.46007,0.50871,0.41942,0.92332,0.95374,0.91487,0.97249,0.78869,0.91162,0.84987,0.8993,0.69983,0.63984,0.88961,0.63158,0.7983,0.000757013,0.000757013,0.000757013
97,6056.14,0.45861,0.52539,0.39808,0.92322,0.95027,0.90839,0.97157,0.80335,0.92061,0.84898,0.90389,0.69685,0.6159,0.85738,0.61129,0.79111,0.000749939,0.000749939,0.000749939
98,6123.97,0.49112,0.577,0.44265,0.93187,0.94381,0.92215,0.96801,0.79068,0.95737,0.90404,0.94739,0.68326,0.59625,0.90031,0.58945,0.77609,0.000742866,0.000742866,0.000742866
99,6187.65,0.48316,0.56383,0.42628,0.9292,0.94259,0.94092,0.96789,0.82072,0.95023,0.88207,0.92327,0.72658,0.58625,0.8079,0.59169,0.78056,0.000735792,0.000735792,0.000735792
100,6255.4,0.47263,0.53884,0.44074,0.92029,0.93128,0.93725,0.96991,0.80875,0.95278,0.89997,0.93766,0.72968,0.61617,0.80412,0.63199,0.79663,0.000728719,0.000728719,0.000728719
101,6324.74,0.47121,0.58358,0.42258,0.9187,0.92334,0.95833,0.97236,0.80642,0.94504,0.88809,0.92937,0.75194,0.628,0.84579,0.61373,0.80416,0.000721645,0.000721645,0.000721645
102,6388.61,0.46969,0.52327,0.41846,0.9217,0.94611,0.95538,0.97348,0.83493,0.93521,0.87951,0.93297,0.72177,0.6128,0.89836,0.58502,0.80739,0.000714571,0.000714571,0.000714571
103,6449.31,0.48994,0.5444,0.43629,0.92874,0.89775,0.94826,0.96438,0.81226,0.94808,0.86375,0.92514,0.72053,0.5941,0.86809,0.58669,0.7942,0.000707498,0.000707498,0.000707498
104,6503.49,0.44252,0.5175,0.42849,0.92881,0.94743,0.94066,0.96647,0.80971,0.94246,0.93091,0.95554,0.74102,0.61812,0.87372,0.64484,0.80327,0.000700424,0.000700424,0.000700424
105,6556.37,0.44052,0.49462,0.39783,0.90857,0.93697,0.93908,0.9682,0.82107,0.93608,0.93465,0.95516,0.76225,0.58643,0.89269,0.58693,0.77301,0.000693351,0.000693351,0.000693351
106,6611.1,0.45871,0.48026,0.42314,0.91013,0.91393,0.93538,0.96467,0.79198,0.93042,0.93133,0.96027,0.74056,0.56355,0.92439,0.56615,0.75139,0.000686277,0.000686277,0.000686277
107,6665.86,0.46022,0.51609,0.40983,0.90527,0.94025,0.91408,0.96224,0.79769,0.91162,0.88476,0.88034,0.67839,0.54849,0.8733,0.59042,0.76084,0.000679204,0.000679204,0.000679204
108,6718.35,0.44068,0.55004,0.4125,0.91644,0.9512,0.92769,0.96842,0.83287,0.89994,0.87582,0.91015,0.69003,0.58175,0.84276,0.57789,0.77508,0.00067213,0.00067213,0.00067213
109,6776.6,0.44661,0.50281,0.40222,0.93026,0.9537,0.94787,0.96642,0.80513,0.90187,0.88942,0.91539,0.71522,0.58861,0.87671,0.57379,0.77187,0.000665057,0.000665057,0.000665057
110,6828.55,0.45781,0.52151,0.41202,0.91577,0.94855,0.94708,0.96915,0.81751,0.91728,0.91198,0.91867,0.72714,0.57327,0.81116,0.54328,0.7572,0.000657983,0.000657983,0.000657983
111,6880.41,0.44826,0.47943,0.40571,0.92606,0.93574,0.95364,0.96775,0.80127,0.93367,0.95414,0.96712,0.74361,0.58379,0.80189,0.55498,0.75818,0.000650909,0.000650909,0.000650909
112,6932.07,0.46539,0.50602,0.40996,0.90361,0.88086,0.95702,0.95985,0.78136,0.87805,0.95043,0.95721,0.74386,0.54795,0.81384,0.55738,0.74664,0.000643836,0.000643836,0.000643836
113,6987.92,0.44217,0.49155,0.39858,0.90162,0.94991,0.95294,0.9692,0.81503,0.92575,0.91534,0.94797,0.71775,0.53984,0.85921,0.52505,0.73781,0.000636762,0.000636762,0.000636762
114,7041.41,0.43933,0.49567,0.39161,0.92093,0.93686,0.95772,0.96739,0.79474,0.91194,0.93154,0.94297,0.69336,0.58806,0.87515,0.54522,0.75927,0.000629689,0.000629689,0.000629689
115,7094.75,0.4446,0.47765,0.39635,0.90334,0.95906,0.93015,0.96681,0.81452,0.95962,0.91351,0.95713,0.70578,0.54402,0.92193,0.58387,0.74684,0.000622615,0.000622615,0.000622615
116,7146.37,0.43426,0.50078,0.39895,0.91062,0.94284,0.93278,0.96499,0.81635,0.94345,0.92794,0.95507,0.73224,0.57393,0.89032,0.55734,0.76346,0.000615542,0.000615542,0.000615542
117,7195.14,0.43685,0.50859,0.38826,0.9136,0.9153,0.93753,0.95975,0.79372,0.91575,0.93673,0.95437,0.72255,0.60318,0.90574,0.55901,0.77149,0.000608468,0.000608468,0.000608468
118,7255.17,0.44588,0.53741,0.39098,0.91163,0.94114,0.93774,0.96879,0.81511,0.95445,0.91712,0.96171,0.75111,0.5663,0.88044,0.55919,0.77066,0.000601395,0.000601395,0.000601395
119,7313.48,0.43813,0.50612,0.37243,0.91522,0.93708,0.93449,0.96681,0.81431,0.93453,0.93606,0.95913,0.75816,0.57565,0.86368,0.57225,0.78062,0.000594321,0.000594321,0.000594321
120,7370.15,0.43055,0.50472,0.3861,0.90562,0.95875,0.91068,0.96689,0.83075,0.96455,0.90999,0.95549,0.73266,0.57264,0.85767,0.56712,0.77796,0.000587248,0.000587248,0.000587248
121,7426.43,0.44997,0.56811,0.39244,0.92597,0.95688,0.91197,0.96785,0.78847,0.94988,0.91408,0.95101,0.71762,0.5831,0.87522,0.5765,0.78097,0.000580174,0.000580174,0.000580174
122,7480.14,0.44577,0.46871,0.3792,0.90716,0.93631,0.93406,0.96772,0.79485,0.93631,0.93406,0.95903,0.69909,0.58396,0.89876,0.5641,0.77162,0.0005731,0.0005731,0.0005731
123,7532.56,0.43795,0.47086,0.39119,0.89949,0.93255,0.93983,0.97156,0.83157,0.9051,0.90279,0.94557,0.75488,0.54772,0.8729,0.53307,0.7658,0.000566027,0.000566027,0.000566027
124,7586.94,0.44109,0.51488,0.3919,0.91087,0.96255,0.92438,0.97055,0.83558,0.92122,0.87922,0.94889,0.73502,0.56984,0.87539,0.52204,0.76834,0.000558953,0.000558953,0.000558953
125,7638.62,0.44853,0.49785,0.40425,0.91574,0.95372,0.92331,0.96675,0.83383,0.91993,0.89354,0.94458,0.72869,0.58697,0.88573,0.53644,0.76906,0.00055188,0.00055188,0.00055188
